UserID,Email,Password,UserType,RegisteredDate,CanBorrow,ItemsBorrowed,ItemsOverdue
100,alex.jordan@example.com,pass123!,Student,01/01/24,yes,0,0
101,bethany.lime@example.com,pass123!,Student,02/01/24,yes,0,0
102,charlie.greenwood@example.com,pass123!,Student,03/01/24,yes,0,0
103,danielle.sky@example.com,pass123!,Student,04/01/24,yes,0,0
104,ethan.hawk@example.com,pass123!,Student,05/01/24,yes,0,0
105,felicity.storm@example.com,pass123!,Student,06/01/24,yes,0,0
106,gregory.plate@example.com,pass123!,Student,07/01/24,yes,0,0
107,hannah.zest@example.com,pass123!,Student,08/01/24,yes,0,0
108,isaac.flint@example.com,pass123!,Student,09/01/24,yes,0,0
109,jasmine.river@example.com,pass123!,Student,10/01/24,yes,0,0
110,kyle.mountain@example.com,pass123!,Student,11/01/24,yes,0,0
111,lola.grace@example.com,pass123!,Student,12/01/24,yes,0,0
112,mason.brick@example.com,pass123!,Student,13/01/24,yes,0,0
113,nina.cloud@example.com,pass123!,Student,14/01/24,yes,0,0
114,oscar.wilde@example.com,pass123!,Student,15/01/24,yes,0,0
115,piper.lee@example.com,pass123!,Student,16/01/24,yes,0,0
116,quincy.stone@example.com,pass123!,Student,17/01/24,yes,0,0
117,rachel.day@example.com,pass123!,Student,18/01/24,yes,0,0
118,steven.frost@example.com,pass123!,Student,19/01/24,yes,0,0
119,tiffany.shade@example.com,pass123!,Staff,20/01/24,yes,0,0
120,ulysses.peak@example.com,pass123!,Staff,21/01/24,yes,0,0
121,victoria.spring@example.com,pass123!,Faculty,22/01/24,yes,0,0
122,william.vale@example.com,pass123!,Faculty,23/01/24,yes,0,0
123,xavier.north@example.com,pass123!,Faculty,24/01/24,yes,0,0
124,yasmin.light@example.com,pass123!,Manager,25/01/24,yes,0,0
125,zack.field@example.com,pass123!,Manager,26/01/24,yes,0,0
126,april.rain@example.com,pass123!,Manager,27/01/24,yes,0,0
127,brooke.stream@example.com,pass123!,Manager,28/01/24,yes,0,0
128,casey.dawn@example.com,pass123!,Manager,29/01/24,yes,0,0
129,javalam@gmail.com,pass123!,Visitor,30/01/24,yes,0,0
130,triyaaug@hotmail.com,pass123!,Visitor,30/01/24,yes,0,0
131,javalam1@gmail.com,pass123!,Student,19/03/24,yes,0,0
132,temp@gmail.com,pass123!,Student,19/03/24,yes,0,0
134,temp23@gmail.com,pass,Student,19/03/24,yes,0,0
136,jav123@gmail.com,plswork,Student,19/03/24,yes,0,0
138,testing1@gmail.com,pass123!,Student,19/03/24,yes,0,0
140,temp24@gmail.com,pass123!,Student,19/03/24,yes,0,0
142,onemoretime@gmail.com,temp,Student,20/03/24,yes,0,0
144,testing123@gmail.com,temp123,Student,20/03/24,yes,0,0
1002,ignore@gmail.com,ignore,Student,20/03/24,yes,0,0
1004,aa@123,123,Student,22/03/24,yes,0,0
